,anomaly_score_new,good_or_bad,a_type_id,img_no,a_type
238,0.7738755,True,4,6,print
239,0.75396156,True,4,7,print
240,0.7917597,True,4,8,print
241,0.80600405,True,4,9,print
242,0.8018952,True,4,10,print
243,0.7832038,True,4,11,print
244,0.8043924,True,4,12,print
245,0.79163325,True,4,13,print
246,0.7962154,True,4,14,print
247,0.75408006,True,4,15,print
248,0.697668,True,4,16,print
249,0.6683892,True,4,17,print
250,0.6650441,True,4,18,print
251,0.68787825,True,4,19,print
252,0.7877922,True,4,20,print
253,0.7845432,True,4,21,print
254,0.74798757,True,4,22,print
255,0.7507743,True,4,23,print
256,0.7810128,True,4,24,print
257,0.7778163,True,4,25,print
258,0.7727208,True,4,26,print
259,0.77391607,True,4,27,print
260,0.75330424,True,4,28,print
261,0.75712526,True,4,29,print
262,0.7748553,True,4,30,print
263,0.7497442,True,4,31,print
264,0.70663214,True,4,32,print
265,0.70561105,True,4,33,print
266,0.7360865,True,4,34,print
267,0.6830394,True,4,35,print
268,0.7785722,True,4,36,print
269,0.780289,True,4,37,print
270,0.7988468,True,4,38,print
271,0.7459983,True,4,39,print
272,0.76409554,True,4,40,print
273,0.75759107,True,4,41,print
274,0.75799567,True,4,42,print
275,0.7824439,True,4,43,print
276,0.74748766,True,4,44,print
277,0.7662952,True,4,45,print
278,0.74038714,True,4,46,print
279,0.75671804,True,4,47,print
280,0.7042818,True,4,48,print
281,0.7594301,True,4,49,print
282,0.73541164,True,4,50,print
283,0.7301338,True,4,51,print
284,0.7007617,True,4,52,print
285,0.75489616,True,4,53,print
286,0.77406037,True,4,54,print
287,0.7078528,True,4,55,print
288,0.74263513,True,4,56,print
289,0.7813665,True,4,57,print
290,0.7932656,True,4,58,print
291,0.7819133,True,4,59,print
292,0.69837874,True,4,60,print
293,0.77941585,True,4,61,print
294,0.74851406,True,4,62,print
295,0.7504336,True,4,63,print
